Name,Quantity,Type
"One Who Craves Knowledge, Eva",1,Core
"An Afternoon Nap Regardless of Place, Eva",1,Core
"Smooth Research Progress, Eva",1,Core
"Fountain of Knowledge, Eva",1,Core
"Poison in Paradise, Eva",2,Core
"Knight of Blackness, Obscudeid",4,Core
"Great Sword of Fierce Black Flame, Obscudeid",2,Core
"Examination Monster, Imigrar",4,Core
Result of the Experiment Henceforth,2,Core
The World is a Blue Research Lab,2,Core
Torrential Energy Research,1,Core
Imprisoning Past,2,Core
Veirmeil Exordia,1,Generic
"Magnetism Monster, Magnides",4,Generic
"Spatless Cleaner, Regelia",2,Generic
Freezing Wave,2,Generic
Combine Rusher,1,Generic
Fire Regalis,1,Generic
