Name,Quantity,Type
"Blitz Chief Mechanic, Warton",1,Core
"Blitz Best Programmer, Strazer",1,Core
"Blitz Head Researcher, Uber",1,Core
"Fated One of Guiding Star, Welstra ""Blitz Arms""",2,Core
"Blitz Neo Mobile, Heldentatt",4,Core
"Operate Master, Freiheit",4,Core
"Blitz Sales, Stil",4,Core
"Blitz Security, Varnest",2,Core
"Blitz Publicist, Fentlichta",4,Core
Fire Regalis,1,Generic
"Extreme Satellite Weaponry, Euryanthe",3,Core
"Mobile Fortress of Obliteration, Freischutz Maximum",3,Core
"Assault Flight Carrier, Lubetzal",3,Core
"Mobile Kennel, Eingarten",1,Core
