Name,Quantity,Type
"Knight of Heavenly Bow, Base",1,Core
"Knight of Heavenly Sword, Fort",1,Core
"Knight of Heavenly Spear, Rooks",1,Core
"Sword of the Nation, Bastion Accord",4,Core
"Apex-surpassing Sword, Bastion Prime",3,Core
"Perfect Surgery, Ascelael",4,Core
Grandeur Edge Dragon,4,Core
"Knight Armor Dragon, Chivalzerd",3,Generic
"Sword Light Dragon, Skylizen",3,Generic
"Form up, O Chosen Knights",2,Generic
"Heavenly Staff Conjurer, Balancy",4,Core
Sapient Owl,3,Core
Forbidoll Surrogate,1,Generic
