Name,Quantity,Type
"Aurora Battle Princess, Ruby Crimson",1,Core
"Aurora Battle Princess, Kyanite Cobalt",1,Core
"Aurora Battle Princess, Risatt Peach",1,Core
"Aurora Battle Princess, Seraph Clearlight",2,Core
"Aurora Fierce Princess, Seraph Purelight",3,Core
"Aurora Battle Princess, Flawless Lila",4,Core
Veirmeil Exordia,1,Core
"Aurora Battle Princess, Capture Cherrino",2,Core
"Aurora Battle Princess, Corner Citrus",4,Core
"Blitz Staff, Muna",4,Generic
Security Upgrader,4,Core
"Aurora Battle Princess, Lifle Royar",4,Core
Fire Regalis,1,Generic
Explosive! Melting Heart!,1,Core
"Galaxy Eternal Prison, Galactolus",1,Core
