Name,Quantity,Type
"Jewelias Dracokid, ""Glow""",1,Core
"Jewel Core Dragon, ""Glint""",1,Core
"Demonic Stone Dragon, Jewelneel ""Luster""",1,Core
"Demonic Jewel Dragon Emperor, Drajeweled Magnus",1,Core
"Demonic Jewel True Dragon, Drajeweled Ignis",4,Core
"Demonic Jewel Dragon, Lavenajader",2,Core
"Demonic Jewel Dragon, Geodrahl",3,Core
"Soul Funeral Dragon, Noctursio",3,Generic
"Depravity Funeral Judgment, Valack",1,Generic
"Demonic Stone Dragon, Lithosargour",4,Core
"Soul Severing Demonic Spear Knight, Zagan",4,Core
"Illusory Lantern Demonic Lady, Forcalor",4,Generic
"Wise Demonic Lordling, Varpula",4,Core
Forbidoll Surrogate,1,Generic
