Name,Quantity,Type
"Sealed Blaze Dragon, Arhinsa",1,Generic
"Sealed Blaze Dragon, Namorkahr",1,Generic
"Scarlet Flame Bow General, Dipaanel",1,Core
"Scarlet Flame Marshal Dragon, Gandeeva",4,Core
"Scarlet Flame Ash Dragon, Gandeeva Masques",4,Core
"Scarlet Flame War General, Bravaldin",1,Core
"Scarlet Flame Bow General, Stirgna",4,Core
"Dragontree Wretch, Torikei Qimrud",4,Core
"Dragritter, Dirgham",4,Core
"Dragritter, Alfaqaar",4,Core
Masque of Hydragrum,2,Core
"Sealed Blaze Shield, Swayanbuh",1,Generic
Best Harvest,2,Generic
Protection: Twincast,1,Generic
