Name,Quantity,Type
Surprise Egg,1,Core
"Heart-pounding Blaze Maiden, Rino",1,Core
"Snuggling Blaze Maiden, Reiyu",1,Core
"Chakrabarthi Phoenix Dragon, Nirvana Jheva",4,Core
"Judgment Blades Equip, Ars Vairina",4,Core
"Blazing Holy Sword Equip, Stravairina",4,Core
"Flaring Cannon Equip, Baur Vairina",1,Core
"Blazing Heavenly Render Equip Dragon, Aparajea",4,Core
"Mirror Reflection Equip, Mirrors Vairina",4,Core
"Piercing Equip Dragon, Argneas",3,Core
Trickstar & Suendi,4,Core
"Blaze Maiden, Alprue",3,Core
