Name,Quantity,Type
"Dragprince, Rute",1,Core
"Dragwizard, Knies",1,Core
"Dragwizard, Liafail",1,Core
"Dragheart, Luard",4,Core
"Atrocious? Moth Girl, Maple",2,Generic
"Lake Maiden, Lien",4,Generic
Dissection Angel,2,Generic
"Claw of Secret Schemes Undercover, Tigris",3,Generic
"Brilliant Dragon, Bradiark",3,Generic
Abyssal Owl,4,Core
Preservation Angel,3,Core
Luminosity Wizard,1,Core
"Yellow Jeweled Beast, Tolpaz",1,Generic
Protection: Twincast,1,Generic
Mine As Your Country's Foundation,3,Generic
