Name,Quantity,Type
"Astesice, Mion",1,Core
"Mermaid Idol, Sedna",1,Generic
"Top Idol, Aqua",1,Generic
"AstesiceLive, Kairi",4,Core
"Light in the Sea, Laterna",4,Core
"Amantes Amentes, Octavia",1,Generic
"Seven Hues Bridge, Lucciel",3,Generic
"Dazzle Bubble Paradise, Precia",2,Generic
"Soaring Bubble, Penelopp",4,Core
"Carefree After Class, Huolette",4,Core
"Cooling Heart, Yuika",3,Generic
"Rainbow Jeweled Beast, Olpirais",1,Generic
Beware of Overeating! Eileen,4,Generic
Protection: Twincast,1,Generic
