Name,Quantity,Type
"Wings of Aspiration, Soel",1,Core
"Patrol of Gusts, Ventesta",1,Core
"Knight of Great Advance, Ascensior",1,Core
"Fated One of Miracles, Rezael",4,Core
"Fated King of Miracles, Rezael Vita",4,Core
"Blest Dragon, Gabwelius",2,Core
"Mythisch of Miracles, Rifistor",3,Core
"Azure Sky White Scale, Aspronia&Sapphira",3,Generic
"Knight of Bow Streaks, Nilberis",4,Core
"Wings of Lifebrook, Soel",3,Core
"Knight of Strict Spear, Seivrus",2,Core
Dissection Angel,4,Generic
"Pink Moth Girl, Maple",1,Generic
Protection: Twincast,1,Generic
