Name,Quantity,Type
"Sylvan Horned Beast, Lotte",1,Core
"Blossoming Flowers Sylvan Horned Beast, Charis",1,Core
"Mercy Sylvan Horned Beast, Lattice",1,Core
"Sylvan Horned Beast Emperor, Magnolia Patriach",4,Core
"Sylvan Horned Beast Emperor, Magnolia Elder",1,Core
"Sea Strike Dragon, Enlargulv",2,Generic
"Sylvan Horned Beast, Cathair Cheile",1,Core
"Mutual Feelings Maiden, Pense",1,Generic
"Sylvan Horned Beast, Voldyaar",2,Core
"Sylvan Horned Beast, Comadrett",2,Core
"Sylvan Horned Beast, Banaspati",2,Core
"Sylvan Horned Beast, Goildoat",2,Core
"Sylvan Horned Beast, Gabregg",1,Core
"Deeplands, Meydith",1,Generic
"Sylvan Horned Beast, Marghor",4,Core
Mythiarq Habitat,2,Generic
"Honest Rendition, Sinceriete",4,Core
"Sylvan Horned Beast, Seroll",1,Core
Forbidoll Surrogate,1,Generic
