Name,Quantity,Type
Disastrous Slurper,1,Core
Abyss Fishing,1,Core
Split the Preordained,1,Core
"Fated One of Taboo, Zorga Nadir",4,Core
Roaming Prison Dragon,4,Core
Carrion Crush,2,Core
Shadowcloak,4,Core
Harvest Elf,4,Generic
Radiance Caliburn,1,Generic
Clouded Miasma,1,Core
"Fill the Skies, O' Brand of Corpses",1,Core
"Gather Upon Me, Ye Wandering Souls",1,Core
Command of Death's Restraint,2,Generic
Mythiarq Habitat,3,Generic
Overcoming the Unnatural Death,2,Generic
Fine Drink of Abolishment for Sins,2,Generic
