Name,Quantity,Type
"Player of the Olifant, Belnista",1,Core
"Player of the Lovely Harp, Adorphas",1,Core
"Player of the Beautiful Chord, Elegenia",1,Core
"Fated One of Sacred Time, Liael=Draconis",4,Core
"Blest Dragon, Gabwelius",3,Core
"Fated One of Time, Liael=Amorta",3,Core
"Silver Key Magic, Kekeyl",4,Core
"Knight of Divine White, Yscudyyd",1,Generic
"Knight of Bright Blade, Religial",3,Core
Cerrgaon,4,Generic
"Knight of the Distant Bow, Almov",2,Core
"Magic of Stimulants, Euphyuria",1,Core
Gragaon,1,Core
"Yellow Jeweled Beast, Tolpaz",1,Generic
The Nebula Knight's Path to Reach for the Stars,2,Generic
Fire Regalis,1,Generic
