Name,Quantity,Type
"Bioroid Youth, Rorowa",1,Core
"Awakening from Slumber, Rorowa",1,Core
"The World 3000 Years Later, Rorowa",1,Core
"Crossing Interdimensional Thoughts, Rorowa",4,Core
"Dragritter Girl of Flame Blossoms, Radylina",4,Core
"Undoubting Flame Sword, Radylina",4,Core
"Undoubting Flame Sword, Radylina",1,Core
"Shell-breaking Wings, Momokke",3,Core
"Nurturing Watering, Itachelina",3,Core
Sea Rumble Brave Shooter,2,Generic
"Illusivewing Dragon, Fjarmja",3,Generic
Burrow Mushrooms,2,Generic
"Pink Moth Girl, Maple",1,Generic
"Green Jeweled Beast, Elmedar",1,Generic
Plant,5,Core
