Name,Quantity,Type
"Heated Blade, Ardart",1,Core
Blazembar Dragon,1,Core
Boulder Axe Dragon,1,Core
"Fated One of Unparalleled, Varga Dragres",1,Core
"Unparalleled Drekasleif, Varga Dragres ""Rakshasa""",4,Core
Rockbound Edge Dragon,2,Core
"Dragritter, Shuura",4,Core
"Dragritter, Falhart",4,Generic
"Dragritter, Qawsqozah",3,Generic
Storm Slasher Dragon,3,Core
"Battle Monk of Raging Flames, Rokusei",4,Core
Impale Horn Dragon,3,Core
"Red Jeweled Beast, Galnet",1,Generic
Radiance Caliburn,1,Generic
Defensing Roar,1,Generic
